Units,Fall,Winter,Spring,Summer,URL,Title,Course,Program
5,N/A,Online (self-paced),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=33442010,ED X316 - Single Case Design and Behavior Intervention,ED X316 - Single Case Design and Behavior Intervention,"BCaBA#main, QASPS#main"
5,N/A,N/A,N/A,Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=43681292,ED X317B Behavior Assessment and Intervention Part II,ED X317B Behavior Assessment and Intervention Part II,BCaBA#main
5,N/A,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=33449384,ED X317 - Behavior Assessment and Intervention,ED X317 - Behavior Assessment and Intervention,"BCaBA#main, QASPS#main"
5,Online (self-paced),N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=33449554,ED X318 - Behavior-Change Procedures,ED X318 - Behavior-Change Procedures,"BCaBA#main, QASPS#main"
5,N/A,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=33449573,ED X319 - Ethics,ED X319 - Ethics,BCaBA#main
5,Online,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=35503089,ED X319Q - Ethics and Supervision,ED X319Q - Ethics and Supervision,QASPS#main
2,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=35199557,"ED X320S - Personnel, Supervision, and Management","ED X320S - Personnel, Supervision, and Management",QASPS#main
5,N/A,Online (self-paced),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=43652324,ED X365.5B Behavior Assessment & Intervention for Children & Adolescents Part II,ED X365.5B Behavior Assessment & Intervention for Children & Adolescents Part II,BCBA#main
5,"Online, Online (self-paced)",N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32356738,ED X365.5 - Behavior Assessment & Intervention for Children & Adolescents,ED X365.5 - Behavior Assessment & Intervention for Children & Adolescents,"QBA#main, BCBA#main"
5,Online (self-paced),N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32356435,ED X391.5 - Professional Issues in Developmental Disabilities,ED X391.5 - Professional Issues in Developmental Disabilities,"QBA#main, BCBA#main"
1,Online,Online (self-paced),Online (self-paced),Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=28945939,XLRN 809A - Supervision,XLRN 809A - Supervision,"QBA#main, BCBA#sub"
1.6,Online,Online (self-paced),Online (self-paced),Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=34919015,XLRN 809B - Study Prep Program,XLRN 809B - Study Prep Program,"QBA#main, BCBA#sub"
18,Hybrid,Hybrid,N/A,Hybrid,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=40479255,XLRN 821.EMT - Emergency Medical Technician-Basic,XLRN 821.EMT - Emergency Medical Technician-Basic,EMT#main
2.5,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=41116860,XLRN 822.EMT - Intensive EMT Refresher Course,XLRN 822.EMT - Intensive EMT Refresher Course,EMT#main
4,N/A,Online (self-paced),N/A,Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=24996820,ED X370.2 - Child Life: Introduction to Theory and Practice,ED X370.2 - Child Life: Introduction to Theory and Practice,CL#main
4,N/A,Online (self-paced),N/A,Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=26120019,ED X370.3 - Therapeutic Role of Play in Pediatric Care,ED X370.3 - Therapeutic Role of Play in Pediatric Care,CL#main
4,"Online, Online (self-paced)",N/A,Online (self-paced),Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=26120331,"ED X370.4 - Death, Dying, & Grief in Pediatric Care","ED X370.4 - Death, Dying, & Grief in Pediatric Care",CL#main
4,Online,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=26120334,"ED X370.5 - Assessment, Preparation and Medical Terminology","ED X370.5 - Assessment, Preparation and Medical Terminology",CL#main
4,Online (self-paced),N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=27406321,ED X370.11 - Pediatric Palliative Care & Hospice,ED X370.11 - Pediatric Palliative Care & Hospice,CL#main
4,Online,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=28010698,ED X370.12 - Family Systems,ED X370.12 - Family Systems,CL#main
4,N/A,Online (self-paced),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=28459414,ED X370.13 - Children with Disabilities in the Healthcare Systems,ED X370.13 - Children with Disabilities in the Healthcare Systems,CL#main
4,Online,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=28459553,ED X370.14 - Research Methodologies in Child Life,ED X370.14 - Research Methodologies in Child Life,CL#main
4,N/A,Online (self-paced),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=28876718,ED X370.15 - Child Life & Trauma,ED X370.15 - Child Life & Trauma,CL#main
4,Online,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=30777371,ED X370.19 - Early Child Development: Birth to 8,ED X370.19 - Early Child Development: Birth to 8,CL#main
4,N/A,Online (self-paced),N/A,Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32098816,ED X370.21 - Adolescent Development (ages 9-18),ED X370.21 - Adolescent Development (ages 9-18),CL#main
4,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=34924438,XLRN 870A - Child Life Prep Program,XLRN 870A - Child Life Prep Program,CL#main
4,Online (self-paced),N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=36950020,XLRN 870B - Child Life Supervision Internship,XLRN 870B - Child Life Supervision Internship,CL#main
5,N/A,Online,N/A,N/A,#,ED X320BM - Introduction to Organizational Behavior Management,ED X320BM - Introduction to Organizational Behavior Management,BCaBA#main
4,Online (self-paced),N/A,Online (live),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=31249800,BUSAD X408L - Business Law,BUSAD X408L - Business Law,"General-Advanced-Business#leadership, Paralegal#sub, HR#main, strategyDecisionMaking#sub, businessAdministration#main, busAdminManagement#main3"
4,UCSB,Hybrid,Hybrid,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=24148677,BUSAD X409.11 - International Marketing,BUSAD X409.11 - International Marketing,"General-Advanced-Business#marketing, internationalBusinessDevelopment#main, businessAdministration#sub5, appliedBusinessEssentials#sub, globalMarketing#main, busAdminManagement#globalBusiness"
4,UCSB,Online (self-paced),Hybrid,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16569939,BUSAD X409.65 - Marketing Principles & Practices,BUSAD X409.65 - Marketing Principles & Practices,"General-Advanced-Business#marketing, strategyDecisionMaking#sub, businessAdministration#main, appliedBusinessEssentials#sub, foundationsDigitalMarketing#main, busAdminManagement#main1"
4,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=24397317,BUSAD X409.66 - Marketing Internship,BUSAD X409.66 - Marketing Internship,
4,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=25087707,BUSAD X411.1 - Strategic Business Development for the Global Marketplace,BUSAD X411.1 - Strategic Business Development for the Global Marketplace,"General-Advanced-Business#marketing, businessAdministration#sub5, busAdminManagement#globalBusiness"
4,UCSB,Hybrid,Hybrid,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=42160025,BUSAD X428 - Entrepreneurial Strategies and Planning,BUSAD X428 - Entrepreneurial Strategies and Planning,"General-Advanced-Business#marketing, internationalBusinessDevelopment#main, entrepreneurship#main"
4,UCSB,UCSB,Hybrid,Hybrid,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=27420581,BUSAD X432 - Negotiation and Influence Strategies,BUSAD X432 - Negotiation and Influence Strategies,"General-Advanced-Business#leadership, agileProjectManagementInt#sub, foudationsAgileProjectManagement#sub, leadershipCertifcate#sub, strategyDecisionMaking#main, businessAdministration#sub3, entrepreneurship#sub1, businessLeadership#sub, busAdminManagement#leadership"
4,UCSB,UCSB,UCSB,Online (blended),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=27403327,BUSAD X435 - Foundations of Business Leadership,BUSAD X435 - Foundations of Business Leadership,"General-Advanced-Business#leadership, agileProjectManagementInt#sub, humanResourceManagement#sub, foudationsAgileProjectManagement#sub, projectManagementCertificate#main, leadershipCertifcate#main, businessAdministration#sub3, entrepreneurship#sub2, businessLeadership#main, busAdminManagement#leadership"
4,Online,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16570022,BUSAD X450.1 - Foundations of Human Resource Management,BUSAD X450.1 - Foundations of Human Resource Management,"General-Advanced-Business#leadership, humanResourceManagement#main, businessAdministration#sub1, busAdminManagement#hr"
4,Online (blended),Online (blended),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=25561802,BUSAD X450.33 - Building and Leading High Performance Teams,BUSAD X450.33 - Building and Leading High Performance Teams,"General-Advanced-Business#leadership, agileProjectManagementInt#sub, humanResourceManagement#main, foudationsAgileProjectManagement#sub, leadershipCertifcate#sub, businessAdministration#sub1, businessAdministration#sub3, businessLeadership#main, busAdminManagement#hr, busAdminManagement#leadership"
4,N/A,N/A,N/A,Online (blended),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16570034,BUSAD X450.40 - Legal Aspects of Employment Practice,BUSAD X450.40 - Legal Aspects of Employment Practice,"General-Advanced-Business#leadership, humanResourceManagement#main, businessAdministration#sub1, busAdminManagement#hr"
4,Online,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16571310,ECON X400 - Principles of Financial Accounting,ECON X400 - Principles of Financial Accounting,"General-Advanced-Business#finance, businessAdministration#main, busAdminManagement#main2"
4,Online (self-paced),N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=27961817,ECON X418 - Financial Statement Analysis,ECON X418 - Financial Statement Analysis,"General-Advanced-Business#finance, businessAdministration#sub4, busAdminManagement#businessAccounting"
4,Online (self-paced),N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=35508271,ECON X422A - Intermediate Accounting,ECON X422A - Intermediate Accounting,General-Advanced-Business#finance
4,N/A,Online (self-paced),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=35510163,ECON X422B - Intermediate Accounting II,ECON X422B - Intermediate Accounting II,General-Advanced-Business#finance
4,N/A,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=27961934,ECON X427A - Income Taxes (Individual),ECON X427A - Income Taxes (Individual),General-Advanced-Business#finance
4,N/A,Online (self-paced),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=27962322,ECON X427B - Corporate Taxation,ECON X427B - Corporate Taxation,General-Advanced-Business#finance
4,N/A,N/A,N/A,Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=41260829,ECON X429 - Financial Data Analytics and Visualization,ECON X429 - Financial Data Analytics and Visualization,
4,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=27962434,ECON X431 - Advanced Accounting,ECON X431 - Advanced Accounting,
4,Online,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=27927654,ECON X432 - Managerial Accounting,ECON X432 - Managerial Accounting,"General-Advanced-Business#finance, businessAdministration#sub4, busAdminManagement#businessAccounting"
4,N/A,N/A,N/A,Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=27932712,ECON X433 - Auditing,ECON X433 - Auditing,General-Advanced-Business#finance
4,N/A,N/A,Online (blended),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=31111538,ECON X435 - Finance for Business Management,ECON X435 - Finance for Business Management,"General-Advanced-Business#finance, strategyDecisionMaking#sub, businessAdministration#main, entrepreneurship#sub2, busAdminManagement#main2"
4,N/A,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=41094551,ECON X437 - Cost Accounting & Budgeting,ECON X437 - Cost Accounting & Budgeting,
4,N/A,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=41094310,ECON X440 - Accounting Information Systems and Automation,ECON X440 - Accounting Information Systems and Automation,
4,UCSB,UCSB,Hybrid,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=23165102,ECON X455.1 - Global Economics,ECON X455.1 - Global Economics,"General-Advanced-Business#finance, internationalBusinessDevelopment#main, leadershipCertifcate#main, businessAdministration#sub5, busAdminManagement#globalBusiness"
2,Hybrid,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32464658,ECON X499.1 - Intro to Financial Economics,ECON X499.1 - Intro to Financial Economics,strategicInvestments#main
2,Hybrid,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32464686,ECON X499.2 - Financial Economics II,ECON X499.2 - Financial Economics II,strategicInvestments#main
1,UCSB,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32485927,ECON X499.3 - Risk and Ethics,ECON X499.3 - Risk and Ethics,strategicInvestments#sub1
2,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32501511,ECON X499.4 - Portfolio Management,ECON X499.4 - Portfolio Management,strategicInvestments#sub2
1,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32501514,ECON X499.10 - Exchange Traded Funds & Portfolio Construction,ECON X499.10 - Exchange Traded Funds & Portfolio Construction,strategicInvestments#sub3
1,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32501519,ECON X499.11 - Financial Crises,ECON X499.11 - Financial Crises,strategicInvestments#sub3
1,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32501527,ECON X499.12 - Impact Investing,ECON X499.12 - Impact Investing,strategicInvestments#sub3
1,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32501529,ECON X499.13 - Financial Wellness,ECON X499.13 - Financial Wellness,strategicInvestments#sub3
1,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32501646,ECON X499.14 - Getting Started in Investing,ECON X499.14 - Getting Started in Investing,strategicInvestments#sub3
1,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32501649,ECON X499.15 - Successful Investing,ECON X499.15 - Successful Investing,strategicInvestments#sub3
1,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=33840314,ECON X499.16 - Fixed Income Fundamentals,ECON X499.16 - Fixed Income Fundamentals,strategicInvestments#sub3
1,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=33840409,ECON X499.17 - Fundamental Investing,ECON X499.17 - Fundamental Investing,strategicInvestments#sub3
1,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=34105206,ECON X499.18 - Market Analysis,ECON X499.18 - Market Analysis,strategicInvestments#sub3
1,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=34105208,ECON X499.19 - The Psychology of Wealth,ECON X499.19 - The Psychology of Wealth,strategicInvestments#sub3
1,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=36193529,ECON X499.21 - Basic Personal Financial Literacy & Planning,ECON X499.21 - Basic Personal Financial Literacy & Planning,strategicInvestments#sub3
1,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=37847529,ECON X499.23 - Mergers & Acquisitions,ECON X499.23 - Mergers & Acquisitions,strategicInvestments#sub3
1,Online,N/A,Online (live),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16574562,LAW X402.2 - Ethics for Paralegals,LAW X402.2 - Ethics for Paralegals,Paralegal#main
2,N/A,Online (live),N/A,Online (live),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16574563,LAW X403 - Case Management,LAW X403 - Case Management,Paralegal#main
3,N/A,N/A,Online (self-paced),Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16574566,LAW X406 - Paralegal Internship,LAW X406 - Paralegal Internship,Paralegal#sub
4,N/A,N/A,N/A,Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16574570,LAW X408 - Intellectual Property,LAW X408 - Intellectual Property,Paralegal#sub
3,N/A,Online (self-paced),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=26721372,LAW X409 - Juvenile Law,LAW X409 - Juvenile Law,Paralegal#sub
3,N/A,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=36101401,LAW X410 - Environmental Law,LAW X410 - Environmental Law,Paralegal#sub
3,N/A,N/A,N/A,Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16574571,LAW X412 - Corporate Law,LAW X412 - Corporate Law,Paralegal#sub
4,N/A,Online (live),N/A,Online (live),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=28767570,"LAW X417.3 - Legal Research, Writing & Analysis I","LAW X417.3 - Legal Research, Writing & Analysis I",Paralegal#main
4,Online,N/A,Online (live),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=28768298,"LAW X417.4 - Legal Research, Writing & Analysis II","LAW X417.4 - Legal Research, Writing & Analysis II",Paralegal#main
3,Online,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16574577,LAW X419 - Criminal Law,LAW X419 - Criminal Law,Paralegal#sub
3,N/A,Online (self-paced),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16574578,LAW X420 - Wills & Trusts I,LAW X420 - Wills & Trusts I,Paralegal#sub
3,N/A,Online (blended),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16574579,LAW X421 - Civil Litigation,LAW X421 - Civil Litigation,Paralegal#main
3,N/A,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=28513702,LAW X423 - Employment Law,LAW X423 - Employment Law,Paralegal#sub
3,N/A,Online (self-paced),N/A,Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=29745522,LAW X424 - E-Discovery & Legal Technologies,LAW X424 - E-Discovery & Legal Technologies,Paralegal#main
3,Online,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16574581,LAW X440 - Family Law,LAW X440 - Family Law,Paralegal#sub
3,N/A,N/A,N/A,Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16574584,LAW X455.3 - Real Estate Law,LAW X455.3 - Real Estate Law,Paralegal#sub
3,N/A,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16574585,LAW X455.4 - Wills & Trusts II,LAW X455.4 - Wills & Trusts II,Paralegal#sub
3,Online (blended),N/A,Online (blended),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=16574587,LAW X455.6 - Fundamentals of Paralegal Studies,LAW X455.6 - Fundamentals of Paralegal Studies,"Paralegal#main, HR#main"
3,N/A,N/A,N/A,Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=23161736,LAW X455.7 - Contract Law,LAW X455.7 - Contract Law,Paralegal#sub
1,Online,Online (self-paced),Online (self-paced),Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=31081699,LAW X455.9 - Paralegal Studies Capstone Course,LAW X455.9 - Paralegal Studies Capstone Course,Paralegal#main
4,UCSB,N/A,UCSB,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=36145630,MGMNT X410 - Business Development and Sales,MGMNT X410 - Business Development and Sales,"General-Advanced-Business#marketing, strategyDecisionMaking#sub, businessAdministration#sub2, entrepreneurship#sub1, appliedBusinessEssentials#main, globalMarketing#sub, busAdminManagement#marketing"
4,UCSB,Online (self-paced),Hybrid,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=42692099,MGMNT X411 - Sports Management Foundations,MGMNT X411 - Sports Management Foundations,"SportsManagement#main, core1#main, core2#main, sportsManagement#prereq"
4,Online (self-paced),N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=42695373,MGMNT X411.1 - Sports Law and Ethics,MGMNT X411.1 - Sports Law and Ethics,"SportsManagement#sub1, core1#gov, core2#gov, sportsManagement#core1"
4,N/A,UCSB,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=42693962,MGMNT X411.2 - Financial Management in Sport Business,MGMNT X411.2 - Financial Management in Sport Business,"SportsManagement#sub1, core1#gov, core2#gov, sportsManagement#core1"
4,N/A,UCSB,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=42692359,MGMNT X411.3 - Sports Marketing,MGMNT X411.3 - Sports Marketing,"SportsManagement#sub2, core1#applied, core2#applied, sportsManagement#core2"
4,UCSB,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=42700323,MGMNT X411.4 - Game Day Operations,MGMNT X411.4 - Game Day Operations,"SportsManagement#sub2, core1#applied, core2#applied, sportsManagement#core2"
